id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,is_active,platform,cmc_rank,is_fiat,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.last_updated
74,Dogecoin,DOGE,dogecoin,386,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'binance-smart-chain', 'doggone-doggerel']",,130926176668.91444,130926176668.91444,1,,7,0,2021-08-19T21:14:03.000Z,0.31301512743612,3866586038.7717495,0.15660809,4.79485338,19.25952506,82.86907981,9.95057858,-0.92837177,40981873874.74421,2.0522,40981873874.74,2021-08-19T21:14:03.000Z
328,Monero,XMR,monero,161,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio']",,17976391.26101739,17976391.26101739,1,,31,0,2021-08-19T21:14:04.000Z,261.135880087515,188793440.1983689,0.29683673,4.20480477,1.31728454,40.42758636,-0.96514414,12.39604882,4694280752.743289,0.2351,4694280752.74,2021-08-19T21:14:04.000Z
1027,Ethereum,ETH,ethereum,5581,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum', 'binance-smart-chain', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'arrington-xrp-capital', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures', 'hashkey-capital-portfolio', 'kinetic-capital', 'huobi-capital', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-xzy-screener']",,117173658.4365,117173658.4365,1,,2,0,2021-08-19T21:14:02.000Z,3147.563582142697,19601660951.456093,0.0587175,4.29548632,3.01909231,76.2702117,39.79417089,44.71755041,368811540081.1548,18.4399,368811540081.15,2021-08-19T21:14:02.000Z
2010,Cardano,ADA,cardano,296,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'binance-smart-chain']",45000000000.0,32127741925.079,33027817833.801,1,,3,0,2021-08-19T21:13:08.000Z,2.34897124653068,7807999953.967509,-1.69784037,13.02985249,33.67802132,118.81126482,62.80349589,71.86244581,75467141997.96881,3.7732,105703706093.88,2021-08-19T21:13:08.000Z
1,Bitcoin,BTC,bitcoin,8924,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channels', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'arrington-xrp-capital', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures', 'galaxy-digital-portfolio', 'huobi-capital', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-xzy-screener']",21000000.0,18791087.0,18791087.0,1,,1,0,2021-08-19T21:19:02.000Z,46598.95286318949,36837460963.07288,0.21349738,4.49308082,4.90366788,56.59785505,30.4655102,38.15519112,875644977361.0929,43.8534,978578010126.98,2021-08-19T21:19:02.000Z
2,Litecoin,LTC,litecoin,715,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'binance-chain', 'binance-smart-chain']",84000000.0,66752614.51538747,66752614.51538747,1,,16,0,2021-08-19T21:19:02.000Z,174.12987066452612,1871053897.136244,0.17364003,5.56444135,5.21568478,60.12542318,11.88233025,10.48008173,11623624132.08339,0.5821,14626909135.82,2021-08-19T21:19:02.000Z
74,Dogecoin,DOGE,dogecoin,386,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'binance-smart-chain', 'doggone-doggerel']",,130926176668.91444,130926176668.91444,1,,7,0,2021-08-19T21:19:03.000Z,0.31420200181106,3881393240.470768,0.67302081,5.42691706,19.59520743,83.38487511,10.29813989,-1.33885601,41137266798.841415,2.0602,41137266798.84,2021-08-19T21:19:03.000Z
328,Monero,XMR,monero,161,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio']",,17976391.26101739,17976391.26101739,1,,30,0,2021-08-19T21:19:04.000Z,261.01815579870816,188959071.3203776,0.31982431,4.31328172,1.11651621,39.99374272,-1.28879913,14.25648794,4692164494.866773,0.235,4692164494.87,2021-08-19T21:19:04.000Z
1027,Ethereum,ETH,ethereum,5581,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum', 'binance-smart-chain', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'arrington-xrp-capital', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures', 'hashkey-capital-portfolio', 'kinetic-capital', 'huobi-capital', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-xzy-screener']",,117173658.4365,117173658.4365,1,,2,0,2021-08-19T21:19:02.000Z,3156.3331982113946,19616833228.33532,0.21525285,4.89214803,3.22119097,76.5954522,40.02441292,48.97450736,369839108079.0076,18.5204,369839108079.01,2021-08-19T21:19:02.000Z
2010,Cardano,ADA,cardano,296,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'binance-smart-chain']",45000000000.0,32127741925.079,33027817833.801,1,,3,0,2021-08-19T21:18:14.000Z,2.35742313474521,7821955507.109555,-0.51677826,14.45462976,33.82799195,119.60472966,63.16429735,77.05336917,75738682081.30484,3.7928,106084041063.53,2021-08-19T21:18:14.000Z
