,name,symbol,slug,num_market_pairs,is_active,cmc_rank,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.last_updated
280,Ethereum,ETH,ethereum,5583,1,2,2021-08-18T00:49:02.000Z,3003.990650773784,25352108197.71439,-0.57120206,-3.98810457,-5.11604824,59.23049212,33.71196285,32.5655312,2021-08-18 00:49:02+00:00
281,Cardano,ADA,cardano,291,1,5,2021-08-18T00:48:11.000Z,1.90721755668627,3785810653.9950223,-1.31218411,-6.75338553,13.09058123,62.87471274,34.05037982,36.63990636,2021-08-18 00:48:11+00:00
282,Bitcoin,BTC,bitcoin,8908,1,1,2021-08-18T00:54:02.000Z,44851.16993724168,33116853766.154152,0.58889963,-1.97878349,-1.93967433,41.92791815,25.44701532,27.96114671,2021-08-18 00:54:02+00:00
283,Litecoin,LTC,litecoin,714,1,15,2021-08-18T00:54:02.000Z,167.46977855680288,2189399504.422359,-0.5172874,-4.76649086,0.1432858,42.103588,6.44079466,-2.62596812,2021-08-18 00:54:02+00:00
284,Dogecoin,DOGE,dogecoin,385,1,7,2021-08-18T00:54:03.000Z,0.29509814331929,5640613516.441651,-0.83254581,-6.4925343,14.23926816,64.13309208,0.62557896,-0.38972786,2021-08-18 00:54:03+00:00
285,Monero,XMR,monero,161,1,29,2021-08-18T00:54:04.000Z,257.0750036645226,205307140.6950227,0.61132832,-3.02335229,-4.14050431,29.87473787,-4.99968514,41.15430796,2021-08-18 00:54:04+00:00
286,Ethereum,ETH,ethereum,5583,1,2,2021-08-18T00:54:02.000Z,3023.1955397018382,25490134803.81736,0.50581145,-3.51374839,-4.47636032,60.20134383,34.91368973,39.19012087,2021-08-18 00:54:02+00:00
287,Cardano,ADA,cardano,291,1,5,2021-08-18T00:53:08.000Z,1.93151450771918,3823808647.0067577,0.82102297,-5.99574454,13.9602116,64.86617888,36.17146732,43.52954738,2021-08-18 00:53:08+00:00
288,Bitcoin,BTC,bitcoin,8908,1,1,2021-08-18T00:59:02.000Z,44834.118753180526,33206292429.191746,0.31045984,-2.03506899,-1.85717249,41.87891443,25.41065204,25.71775286,2021-08-18 00:59:02+00:00
289,Litecoin,LTC,litecoin,714,1,15,2021-08-18T00:59:02.000Z,167.50984185522697,2192410984.243997,-0.78936709,-4.8587307,0.28744998,42.22020784,6.37847137,-3.81158835,2021-08-18 00:59:02+00:00
290,Dogecoin,DOGE,dogecoin,385,1,7,2021-08-18T00:59:03.000Z,0.29459377766309,5648243645.743497,-1.61905267,-6.50249736,13.57102069,64.30954329,0.56530088,-4.50805896,2021-08-18 00:59:03+00:00
291,Monero,XMR,monero,161,1,29,2021-08-18T00:59:04.000Z,256.69611941797143,205344893.0167257,0.16552595,-3.1868737,-4.34684767,29.99431277,-4.94970137,36.31095448,2021-08-18 00:59:04+00:00
292,Ethereum,ETH,ethereum,5583,1,2,2021-08-18T00:59:02.000Z,3020.573612171108,25570314852.57086,0.18997896,-3.63045488,-4.56116247,60.18742877,34.66961031,36.37289881,2021-08-18 00:59:02+00:00
293,Cardano,ADA,cardano,291,1,5,2021-08-18T00:58:08.000Z,1.93393201439543,3837459334.577984,0.33565722,-6.26139156,14.3272028,65.16557992,36.33125889,42.16356238,2021-08-18 00:58:08+00:00
294,Bitcoin,BTC,bitcoin,8908,1,1,2021-08-18T01:04:02.000Z,44672.98060756628,33079781775.77048,-0.54912168,-2.64781046,-2.07557867,41.34359457,24.10394675,22.82266811,2021-08-18 01:04:02+00:00
295,Litecoin,LTC,litecoin,714,1,15,2021-08-18T01:04:02.000Z,166.40864526521798,2182518826.5317554,-2.00383685,-5.87948967,0.08435712,41.43275926,5.23731666,-6.0504493,2021-08-18 01:04:02+00:00
296,Dogecoin,DOGE,dogecoin,385,1,7,2021-08-18T01:04:03.000Z,0.29192529102285,5600661363.28996,-3.41154521,-8.15690533,12.91865987,63.3887895,-0.85051148,-8.04557214,2021-08-18 01:04:03+00:00
297,Monero,XMR,monero,161,1,29,2021-08-18T01:04:04.000Z,254.4959622761083,204575345.07405964,-1.46345694,-4.33670514,-4.9182583,28.80800018,-5.80506663,30.4232811,2021-08-18 01:04:04+00:00
298,Ethereum,ETH,ethereum,5583,1,2,2021-08-18T01:04:02.000Z,3004.555284398464,25483399240.940155,-0.9640018,-4.38103653,-4.88246625,59.49032024,33.29984834,31.21616271,2021-08-18 01:04:02+00:00
299,Cardano,ADA,cardano,291,1,5,2021-08-18T01:03:11.000Z,1.9174028018359,3827529344.291474,-1.55039569,-6.76718164,11.54883971,63.99338228,34.27253675,33.0501293,2021-08-18 01:03:11+00:00
300,Bitcoin,BTC,bitcoin,8908,1,1,2021-08-18T01:09:02.000Z,44609.766562998695,33059532730.1941,-0.10741772,-2.97817735,-2.28360992,41.50465292,23.79558806,22.11040565,2021-08-18 01:09:02+00:00
301,Litecoin,LTC,litecoin,714,1,15,2021-08-18T01:09:02.000Z,165.61048121093623,2188297641.586605,-1.65951856,-6.59877643,-0.35251916,40.82050281,4.76108248,-7.15573621,2021-08-18 01:09:02+00:00
302,Dogecoin,DOGE,dogecoin,385,1,7,2021-08-18T01:09:03.000Z,0.28978887670515,5597342803.956428,-2.65952199,-8.79367504,12.12441277,62.75506059,-1.66894134,-8.25143337,2021-08-18 01:09:03+00:00
303,Monero,XMR,monero,161,1,29,2021-08-18T01:09:04.000Z,253.5069308236125,204820902.29915684,-0.94050034,-4.77608714,-5.34061805,28.70045893,-6.14951314,29.34615294,2021-08-18 01:09:04+00:00
304,Ethereum,ETH,ethereum,5583,1,2,2021-08-18T01:09:02.000Z,2993.269759343995,25469834872.41204,-0.48862821,-4.90128624,-5.24731449,59.7145077,32.74337477,31.98061345,2021-08-18 01:09:02+00:00
305,Cardano,ADA,cardano,291,1,5,2021-08-18T01:08:08.000Z,1.9104003125097,3800299925.102954,-1.03294577,-7.44470244,11.4134191,63.42024412,33.67264781,32.5795842,2021-08-18 01:08:08+00:00
306,Bitcoin,BTC,bitcoin,8908,1,1,2021-08-18T01:14:02.000Z,44390.98239874784,32999791776.58701,-0.8799394,-3.51768146,-2.79886511,40.74212223,22.65351273,23.57951298,2021-08-18 01:14:02+00:00
307,Litecoin,LTC,litecoin,714,1,15,2021-08-18T01:14:02.000Z,163.8352766635772,2184560355.307301,-2.88966555,-7.66471626,-1.38273814,39.38855426,3.41492586,-7.29058593,2021-08-18 01:14:02+00:00
308,Dogecoin,DOGE,dogecoin,385,1,7,2021-08-18T01:14:03.000Z,0.28313877233409,5582994337.951206,-5.77560488,-11.06807871,9.47351331,58.63883388,-4.31787204,-7.8968874,2021-08-18 01:14:03+00:00
309,Monero,XMR,monero,161,1,29,2021-08-18T01:14:04.000Z,249.5531008236921,207288264.154998,-2.85096072,-6.4812058,-6.95429983,26.86368191,-7.77807203,29.61663246,2021-08-18 01:14:04+00:00
310,Ethereum,ETH,ethereum,5583,1,2,2021-08-18T01:14:02.000Z,2960.222392637383,25486506937.93339,-1.92461785,-6.02214952,-6.56905991,58.01977691,31.21813369,33.24278126,2021-08-18 01:14:02+00:00
311,Cardano,ADA,cardano,291,1,5,2021-08-18T01:13:08.000Z,1.90734715977393,3801689809.6488886,-1.39343799,-7.80751362,11.70149605,63.19212843,32.96315896,38.52623753,2021-08-18 01:13:08+00:00
312,Bitcoin,BTC,bitcoin,8908,1,1,2021-08-18T01:19:02.000Z,44552.62612109838,33192157909.75671,-0.65386513,-3.09256413,-2.41701464,41.41914169,22.72104735,22.86111929,2021-08-18 01:19:02+00:00
313,Litecoin,LTC,litecoin,714,1,15,2021-08-18T01:19:02.000Z,164.6266937380966,2204552325.607466,-2.96600485,-7.12049272,-1.17170617,40.16948561,3.95418219,-8.00301836,2021-08-18 01:19:02+00:00
314,Dogecoin,DOGE,dogecoin,385,1,7,2021-08-18T01:19:03.000Z,0.2860882427792,5716457299.776867,-5.19768684,-10.0043214,10.59412106,60.84384572,-3.85261295,-7.9330739,2021-08-18 01:19:03+00:00
315,Monero,XMR,monero,161,1,29,2021-08-18T01:19:04.000Z,249.1435252003493,212484727.8541281,-3.53687032,-6.88111378,-7.15972789,26.60429285,-8.11288179,26.89280005,2021-08-18 01:19:04+00:00
316,Ethereum,ETH,ethereum,5583,1,2,2021-08-18T01:19:02.000Z,2971.850963077013,25655384062.577168,-1.94651302,-5.57328067,-6.28837045,58.87873421,31.75969315,30.90148199,2021-08-18 01:19:02+00:00
317,Cardano,ADA,cardano,291,1,5,2021-08-18T01:18:08.000Z,1.89521788730581,3826174195.776853,-2.47824047,-8.48827326,10.46703446,62.33883042,31.99752437,33.75521821,2021-08-18 01:18:08+00:00
318,Bitcoin,BTC,bitcoin,8908,1,1,2021-08-18T01:24:02.000Z,44594.06733141918,33339315670.46092,-0.4844744,-3.23955512,-2.35799223,41.44855611,22.83027616,21.27624181,2021-08-18 01:24:02+00:00
319,Litecoin,LTC,litecoin,714,1,15,2021-08-18T01:24:02.000Z,164.6834921925938,2221044258.907968,-2.71735633,-7.34069224,-1.15825569,40.08994055,4.12420094,-8.86966138,2021-08-18 01:24:02+00:00
320,Dogecoin,DOGE,dogecoin,385,1,7,2021-08-18T01:24:03.000Z,0.28358771217851,5729133925.134688,-5.69044928,-11.38685969,9.59068593,58.95563067,-4.40884979,-10.55921856,2021-08-18 01:24:03+00:00
321,Monero,XMR,monero,161,1,29,2021-08-18T01:24:04.000Z,248.13111532565875,215531581.2698555,-4.11435791,-7.49182541,-7.54352309,25.86759925,-8.3027406,24.01785048,2021-08-18 01:24:04+00:00
322,Ethereum,ETH,ethereum,5583,1,2,2021-08-18T01:24:02.000Z,2976.6420161027777,25796629824.022858,-1.54764012,-5.60500753,-6.25708471,58.85093698,32.17891312,28.82001279,2021-08-18 01:24:02+00:00
323,Cardano,ADA,cardano,291,1,5,2021-08-18T01:23:08.000Z,1.91645341072494,3878286168.941208,-1.26332982,-7.44083425,11.778975,63.94037884,33.55575781,34.73912754,2021-08-18 01:23:08+00:00
324,Bitcoin,BTC,bitcoin,8908,1,1,2021-08-18T01:29:02.000Z,44678.94293143705,33353122401.66575,-0.2027484,-3.51596599,-2.42770792,41.61209907,23.31390442,19.5877976,2021-08-18 01:29:02+00:00
325,Litecoin,LTC,litecoin,714,1,15,2021-08-18T01:29:02.000Z,165.41213215164626,2231173075.6335697,-2.27191894,-7.48155397,-0.72322309,40.51635405,4.74631164,-8.84097345,2021-08-18 01:29:02+00:00
326,Dogecoin,DOGE,dogecoin,385,1,7,2021-08-18T01:29:03.000Z,0.28621105750212,5773418982.130774,-5.02425443,-11.58730339,10.35778581,60.08903867,-3.32948017,-10.62480677,2021-08-18 01:29:03+00:00
327,Monero,XMR,monero,161,1,29,2021-08-18T01:29:04.000Z,248.87035133311696,216249442.9419547,-3.59511562,-7.75559679,-7.3824827,26.54025804,-7.74994888,22.82656034,2021-08-18 01:29:04+00:00
328,Ethereum,ETH,ethereum,5583,1,2,2021-08-18T01:29:02.000Z,2988.947846262796,25872093270.514,-1.05920378,-5.57008246,-5.971144,59.36212472,32.85357262,26.19319171,2021-08-18 01:29:02+00:00
329,Cardano,ADA,cardano,291,1,5,2021-08-18T01:29:08.000Z,1.91044871084399,3885544720.423074,-1.42048419,-9.03041507,10.71119333,63.59996048,33.15170182,31.394177,2021-08-18 01:29:08+00:00
330,Bitcoin,BTC,bitcoin,8908,1,1,2021-08-18T01:34:02.000Z,44846.24552799914,33505168963.711742,0.37541442,-2.94562868,-2.13034801,42.2707899,23.87804543,20.58262048,2021-08-18 01:34:02+00:00
331,Litecoin,LTC,litecoin,714,1,15,2021-08-18T01:34:02.000Z,166.75215429190868,2244289429.866276,-1.04569423,-6.57512495,0.03116049,41.6987726,5.53993974,-8.27009423,2021-08-18 01:34:02+00:00
332,Dogecoin,DOGE,dogecoin,385,1,7,2021-08-18T01:34:03.000Z,0.29005223883875,5814662703.632824,-2.82813872,-10.4177338,11.58303155,62.5327049,-2.07109901,-9.29066857,2021-08-18 01:34:03+00:00
333,Monero,XMR,monero,161,1,29,2021-08-18T01:34:04.000Z,250.583628580924,218284013.2679124,-2.2022015,-7.12914464,-6.78764928,27.5060858,-7.59622257,23.34745397,2021-08-18 01:34:04+00:00
