id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,is_active,platform,cmc_rank,is_fiat,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.last_updated
74,Dogecoin,DOGE,dogecoin,379,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'binance-smart-chain', 'doggone-doggerel']",,130840692977.98906,130840692977.98906,1,,7,0,2021-08-13T21:13:03.000Z,0.28331800941725,3425301746.560038,1.1758749,7.75956876,37.47765883,43.4522804,-12.98000673,-45.03023439,37069524685.29742,1.8682,37069524685.3,2021-08-13T21:13:03.000Z
328,Monero,XMR,monero,161,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio']",,17972524.09237574,17972524.09237574,1,,28,0,2021-08-13T21:13:04.000Z,268.81073941919607,224172734.0581845,-0.25520067,4.00807949,3.563905,33.78171135,-1.18267327,-32.18945423,4831207490.500838,0.2435,4831207490.5,2021-08-13T21:13:04.000Z
1027,Ethereum,ETH,ethereum,5602,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum', 'binance-smart-chain', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'arrington-xrp-capital', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures', 'hashkey-capital-portfolio', 'kinetic-capital', 'huobi-capital', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-xzy-screener']",,117092586.1865,117092586.1865,1,,2,0,2021-08-13T21:13:02.000Z,3289.121248543636,24049555880.073586,0.34970475,7.44283385,13.03566558,65.15768233,28.27842698,-13.71108039,385131713272.94415,19.4097,385131713272.94,2021-08-13T21:13:02.000Z
2010,Cardano,ADA,cardano,286,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'binance-smart-chain']",45000000000.0,32112332686.738,32982237587.058,1,,4,0,2021-08-13T21:12:08.000Z,2.04123542682669,7104190164.959263,-0.30053083,15.92376195,45.30091021,61.04740642,30.78213105,-10.56456932,65548831118.2143,3.3035,91855594207.2,2021-08-13T21:12:08.000Z
1,Bitcoin,BTC,bitcoin,8911,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channels', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'arrington-xrp-capital', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures', 'galaxy-digital-portfolio', 'huobi-capital', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-xzy-screener']",21000000.0,18785018.0,18785018.0,1,,1,0,2021-08-13T21:19:02.000Z,47660.48196536284,31460075621.477024,0.02507877,7.29338459,12.08348643,44.86426894,18.83377858,-1.4332916,895303011608.0162,44.9759,1000870121272.62,2021-08-13T21:19:02.000Z
2,Litecoin,LTC,litecoin,710,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'binance-chain', 'binance-smart-chain']",84000000.0,66752614.51538747,66752614.51538747,1,,13,0,2021-08-13T21:19:02.000Z,181.3226409345565,2537231431.2263064,-0.49282153,9.54247039,22.17021325,37.61637977,3.65709916,-41.50617722,12103760353.216463,0.61,15231101838.5,2021-08-13T21:19:02.000Z
74,Dogecoin,DOGE,dogecoin,379,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'binance-smart-chain', 'doggone-doggerel']",,130840692977.98906,130840692977.98906,1,,7,0,2021-08-13T21:19:03.000Z,0.28281859148059,3453116346.849545,1.15771316,7.64969007,37.87370726,42.78866746,-12.94598766,-45.08374834,37004180496.37919,1.8589,37004180496.38,2021-08-13T21:19:03.000Z
328,Monero,XMR,monero,161,2014-05-21T00:00:00.000Z,"['mineable', 'pow', 'medium-of-exchange', 'privacy', 'ringct', 'boostvc-portfolio', 'electric-capital-portfolio', 'galaxy-digital-portfolio']",,17972524.09237574,17972524.09237574,1,,28,0,2021-08-13T21:19:04.000Z,268.98645682803107,224193632.7949305,-0.02983697,4.26039973,3.85195114,33.88181739,-0.84622406,-32.18847022,4834365575.864575,0.2429,4834365575.86,2021-08-13T21:19:04.000Z
1027,Ethereum,ETH,ethereum,5602,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum', 'binance-smart-chain', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'arrington-xrp-capital', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures', 'hashkey-capital-portfolio', 'kinetic-capital', 'huobi-capital', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-xzy-screener']",,117092586.1865,117092586.1865,1,,2,0,2021-08-13T21:19:02.000Z,3281.111706690009,24085044802.043083,0.10327962,7.30180776,13.29510715,64.54494604,28.15937066,-13.70673843,384193855303.134,19.3001,384193855303.13,2021-08-13T21:19:02.000Z
2010,Cardano,ADA,cardano,286,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'binance-smart-chain']",45000000000.0,32112332686.738,32982237587.058,1,,4,0,2021-08-13T21:18:08.000Z,2.04834118683224,7138085728.036338,0.06184611,16.21275477,46.02501356,61.01073176,31.59177084,-10.34163492,65777013647.50465,3.315,92175353407.45,2021-08-13T21:18:08.000Z
